id,name,location,available number of rooms,standard,price per night,amenities,type of meal plan,meal preference,required car parking space,good review count,bad review count,rating,hotel_description,distance_from_city_center,check_in_time,check_out_time
JPN0000,Vista Veranda,Shanghai,163,Budget,8000,"Restaurant, Fitness Center, Parking, Room Service, Wi-Fi",All-Inclusive,Both,False,4792,1000,5,A comfortable and convenient hotel offering excellent services and amenities.,20 km,16:00,10:00
JPN0001,Urban Oasis Hotel,Rio de Janeiro,75,Standard,18000,"Wi-Fi, Room Service, Pet-friendly",Full Board,Jain,True,1763,453,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,16:00,11:00
JPN0002,Palm Grove Resort,Beijing,13,Premium,27000,"Free Breakfast, Parking, Restaurant",Bed & Breakfast,Non Veg,True,2999,286,5,A comfortable and convenient hotel offering excellent services and amenities.,17 km,14:00,11:00
JPN0003,Skyline Towers,Paris,208,Budget,8000,"Wi-Fi, Business Center, Restaurant, Parking, Room Service",Bed & Breakfast,Non veg without Beef,True,4733,809,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,14:00,11:00
JPN0004,Golden Bay Resort,Mumbai,207,Luxury,54000,"Spa, Room Service, Free Breakfast, Pet-friendly",Room Only,,True,1888,990,4,A comfortable and convenient hotel offering excellent services and amenities.,17 km,15:00,11:00
JPN0005,Skyline Towers,Stockholm,73,Budget,10000,"Pet-friendly, Wi-Fi, Business Center, Restaurant, Parking",Bed & Breakfast,Non veg without Beef,True,20,552,1,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,12:00
JPN0006,City Lights Inn,Moscow,231,Premium,24000,"Restaurant, Free Breakfast, Business Center",Bed & Breakfast,Jain,True,3138,972,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,14:00,11:00
JPN0007,Vista Veranda,Berlin,174,Premium,23000,"Spa, Restaurant, Fitness Center",Bed & Breakfast,Veg,False,4600,144,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,10:00
JPN0008,Forest Glade Resort,Berlin,53,Luxury,50000,"Wi-Fi, Free Breakfast, Onsen, Spa",Half Board,Veg,True,656,587,3,A comfortable and convenient hotel offering excellent services and amenities.,20 km,14:00,11:00
JPN0009,Seaside Serenity Resort,Beijing,128,Premium,21000,"Free Breakfast, Fitness Center, Bar",Room Only,,False,4827,247,5,A comfortable and convenient hotel offering excellent services and amenities.,1 km,16:00,10:00
JPN0010,Golden Bay Resort,Beijing,79,Luxury,46000,"Parking, Free Breakfast, Restaurant, Bar",Half Board,Vegan,False,3488,382,5,A comfortable and convenient hotel offering excellent services and amenities.,11 km,16:00,10:00
JPN0011,Golden Bay Resort,Marrakech,68,Standard,14000,"Room Service, Fitness Center, Onsen, Free Breakfast, Pet-friendly, Wi-Fi",Room Only,,False,4743,431,5,A comfortable and convenient hotel offering excellent services and amenities.,6 km,15:00,10:00
JPN0012,Palm Grove Resort,Amsterdam,298,Standard,17000,"Room Service, Wi-Fi, Free Breakfast",Room Only,,True,4900,452,5,A comfortable and convenient hotel offering excellent services and amenities.,12 km,15:00,11:00
JPN0013,Mountain View Lodge,Brussels,158,Premium,27000,"Bar, Business Center, Spa, Onsen",Bed & Breakfast,Both,True,3782,411,5,A comfortable and convenient hotel offering excellent services and amenities.,4 km,14:00,12:00
